R,G,B
163,186,177
126,172,132
135,157,146
109,155,116
127,143,134
114,141,126
106,140,117
92,139,97
116,127,118
105,126,115
99,128,109
98,120,108
91,126,101
91,118,100
84,121,93
73,121,78
105,108,101
95,108,98
89,112,98
89,103,92
83,111,97
82,102,96
82,109,83
82,99,82
75,107,90
74,107,76
75,99,88
74,98,75
68,105,75
68,97,76
58,105,63
58,97,65
89,92,87
85,83,82
78,91,80
78,79,76
73,92,84
72,91,72
72,85,74
73,77,71
66,92,78
66,87,77
65,92,67
65,86,66
65,83,73
65,78,71
65,81,63
64,76,62
59,90,71
59,83,71
58,89,59
58,82,60
58,77,71
58,77,64
57,79,58
58,75,57
53,86,59
53,79,59
49,83,55
43,83,47
52,75,62
52,75,53
46,75,57
43,75,45
74,71,70
68,71,66
68,66,64
64,67,61
63,61,60
59,70,63
59,68,55
59,60,57
58,57,54
54,70,63
54,69,57
54,70,52
53,66,52
54,61,55
53,60,48
54,54,54
53,54,48
49,70,60
49,70,53
49,65,57
48,65,53
47,71,48
47,67,48
48,64,50
47,64,45
48,61,55
48,60,50
47,60,48
47,57,49
49,54,49
47,59,44
47,54,43
42,69,52
42,63,51
42,68,43
41,63,43
42,60,51
42,59,46
41,60,42
41,58,41
42,55,48
42,55,45
42,56,44
41,53,43
41,55,42
41,55,38
40,52,41
40,53,37
37,66,42
37,61,42
37,58,45
36,57,38
31,63,36
31,57,36
37,54,43
37,53,39
36,53,36
33,54,41
33,53,34
30,53,35
26,53,31
51,50,47
47,49,43
42,50,41
46,45,42
42,44,39
39,50,42
38,50,40
39,50,37
39,47,39
39,47,36
39,42,36
36,50,42
36,48,39
36,49,38
36,48,37
36,48,36
36,49,33
36,45,37
36,45,33
36,42,35
36,41,31
33,50,39
33,49,35
33,46,37
33,45,35
33,49,33
33,46,33
33,45,32
33,44,36
33,43,34
33,41,35
33,42,33
33,43,31
33,40,31
30,48,36
30,45,35
30,48,30
30,45,31
30,44,30
30,43,34
30,42,32
30,43,30
30,43,28
30,41,34
30,41,32
30,40,31
29,39,31
30,41,29
29,39,30
30,40,27
28,46,34
28,46,28
28,42,31
27,41,27
28,40,31
27,39,29
28,40,27
25,45,32
25,44,26
25,40,29
25,40,25
22,44,30
20,44,21
21,39,25
34,37,31
31,37,30
30,37,28
29,36,28
28,38,29
28,35,29
28,36,27
28,33,26
27,37,30
27,37,28
27,35,31
27,36,25
27,34,26
27,33,23
26,37,30
26,38,28
26,36,28
25,37,27
26,36,27
25,35,28
26,37,25
25,35,26
25,35,24
26,33,25
25,33,22
24,36,28
24,36,26
24,34,26
23,36,25
24,34,25
23,33,25
24,37,23
23,35,22
23,33,24
22,35,25
22,33,26
21,34,22
20,35,23
16,35,21
27,32,25
25,32,24
24,31,24
24,31,23
24,32,20
22,32,24
22,32,23
21,31,23
21,31,21
25,30,23
23,30,23
22,29,22
23,28,22
21,28,21
22,26,20
20,31,24
20,31,22
20,30,21
19,29,22
19,30,19
18,30,20
14,30,18
19,27,20
19,28,19
16,27,18
19,26,19
15,26,17
14,23,16
